□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-07-02 ~ 2025-07-01,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 서울특별시,,,,,,,,,,,,,,,,,,,
시군구 : 서초구,,,,,,,,,,,,,,,,,,,
읍면동 : 서초동,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
23,서울특별시 서초구 서초동,1362-10,1362,10,서초노블레스아파트,28.85,202506,11,"50,000",-,13,개인,개인,2019,강남대로39길 15-11,-,중개거래,서울 서초구,-
24,서울특별시 서초구 서초동,1641-13,1641,13,아남,84.38,202506,10,"200,000",-,4,개인,개인,1989,사임당로23길 53,-,중개거래,서울 서초구,-
25,서울특별시 서초구 서초동,1315,1315,0,진흥아파트,101.32,202506,8,"299,000",-,10,개인,개인,1979,서초대로 385,-,중개거래,서울 서초구,-
26,서울특별시 서초구 서초동,1315,1315,0,진흥아파트,101.32,202506,8,"299,000",-,10,개인,개인,1979,서초대로 385,20250617,중개거래,서울 서초구,-
27,서울특별시 서초구 서초동,1315,1315,0,진흥아파트,101.32,202506,8,"299,000",-,10,개인,개인,1979,서초대로 385,20250613,중개거래,서울 서초구,-
28,서울특별시 서초구 서초동,1641-13,1641,13,아남,84.96,202506,8,"180,000",-,8,개인,개인,1989,사임당로23길 53,-,중개거래,서울 서초구,-
29,서울특별시 서초구 서초동,1682,1682,0,서초래미안,84.97,202506,7,"263,000",-,9,개인,개인,2003,서초대로65길 13-10,-,중개거래,서울 서초구,-
30,서울특별시 서초구 서초동,1682,1682,0,서초래미안,127.66,202506,7,"299,500",-,9,개인,개인,2003,서초대로65길 13-10,20250610,중개거래,서울 서초구,-
31,서울특별시 서초구 서초동,1682,1682,0,서초래미안,127.66,202506,7,"299,500",-,9,개인,개인,2003,서초대로65길 13-10,-,중개거래,서울 서초구,-
32,서울특별시 서초구 서초동,1754,1754,0,래미안서초에스티지S,84.8,202506,6,"324,000",-,5,개인,개인,2018,서운로 104,-,중개거래,서울 서초구,-
33,서울특별시 서초구 서초동,1301-6,1301,6,래미안서초스위트,95.8079,202506,6,"307,000",-,11,개인,개인,2009,서운로 221,-,중개거래,서울 서초구,-
34,서울특별시 서초구 서초동,1301-6,1301,6,래미안서초스위트,95.8079,202506,6,"307,000",-,11,개인,개인,2009,서운로 221,20250606,중개거래,서울 서초구,-
35,서울특별시 서초구 서초동,1301-6,1301,6,래미안서초스위트,95.8079,202506,6,"307,000",-,11,개인,개인,2009,서운로 221,20250611,중개거래,서울 서초구,-
36,서울특별시 서초구 서초동,1644,1644,0,현대서초3,84.04,202506,6,"178,000",-,8,개인,개인,1997,사임당로23길 58,20250620,중개거래,서울 서초구,-
37,서울특별시 서초구 서초동,1644,1644,0,현대서초3,84.04,202506,6,"178,000",-,8,개인,개인,1997,사임당로23길 58,20250609,중개거래,서울 서초구,-
38,서울특별시 서초구 서초동,1312-3,1312,3,롯데캐슬클래식,120.18,202506,4,"330,000",-,16,개인,개인,2006,서운로 197,20250605,중개거래,서울 서초구,-
39,서울특별시 서초구 서초동,1529,1529,0,서초2차e-편한세상,116.745,202506,4,"220,000",-,11,개인,개인,2005,효령로49길 57,-,중개거래,"서울 강남구, 서울 서초구",-
40,서울특별시 서초구 서초동,1312-3,1312,3,롯데캐슬클래식,120.18,202506,4,"330,000",-,16,개인,개인,2006,서운로 197,-,중개거래,서울 서초구,-
41,서울특별시 서초구 서초동,1685,1685,0,삼풍아파트,79.47,202506,2,"320,000",-,4,개인,개인,1988,서초중앙로 200,-,중개거래,서울 서초구,-
42,서울특별시 서초구 서초동,1685,1685,0,삼풍아파트,130.23,202506,2,"355,000",-,1,개인,개인,1988,서초중앙로 200,-,중개거래,서울 서초구,-
43,서울특별시 서초구 서초동,1315,1315,0,진흥아파트,101.32,202505,31,"298,000",-,10,개인,개인,1979,서초대로 385,-,중개거래,서울 서초구,-
44,서울특별시 서초구 서초동,1682,1682,0,서초래미안,111.32,202505,31,"295,000",-,19,개인,개인,2003,서초대로65길 13-10,-,중개거래,서울 서초구,-
