□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-07-05 ~ 2025-07-04,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 인천광역시,,,,,,,,,,,,,,,,,,,
시군구 : 중구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
23,인천광역시 중구 중산동,1881-1,1881,1,하늘도시우미린1단지,59.55,202506,23,"28,300",-,20,개인,개인,2012,은하수로 351,-,중개거래,인천 중구,-
24,인천광역시 중구 운서동,Aug-08,2708,8,풍림아이원6-2단지,59.9919,202506,21,"16,800",-,3,개인,개인,2002,신도시북로 68,-,중개거래,인천 중구,-
25,인천광역시 중구 중산동,1878-1,1878,1,인천영종한양수자인,59.127,202506,21,"28,000",-,25,개인,개인,2012,은하수로 377,-,중개거래,인천 중구,-
26,인천광역시 중구 중산동,1881-2,1881,2,스카이시티자이,91.8393,202506,21,"51,000",-,17,개인,개인,2018,하늘별빛로 111,-,중개거래,인천 중구,-
27,인천광역시 중구 중산동,1889-2,1889,2,영종국제도시화성파크드림,84.7363,202506,21,"49,500",-,36,개인,개인,2019,하늘별빛로 112,-,중개거래,인천 중구,-
28,인천광역시 중구 운남동,1550,1550,0,영종자이,167.8677,202506,20,"52,000",106,12,개인,개인,2009,운남서로 7,-,직거래,-,25.06.25
29,인천광역시 중구 운남동,1779,1779,0,영종센트럴푸르지오자이,74.8393,202506,20,"39,200",-,4,개인,개인,2019,은하수로 412,-,중개거래,인천 중구,-
30,인천광역시 중구 운남동,1779,1779,0,영종센트럴푸르지오자이,64.643,202506,20,"37,500",-,21,개인,개인,2019,은하수로 412,-,중개거래,인천 중구,-
31,인천광역시 중구 중산동,1871-1,1871,1,e편한세상영종국제도시센텀베뉴,98.0425,202506,20,"59,800",-,2,개인,개인,2023,하늘달빛로 139,-,중개거래,인천 중구,-
32,인천광역시 중구 운서동,Jan-04,3104,1,운서SKVIEWSkycity,77.0014,202506,20,"44,000",-,19,개인,개인,2022,흰바위로 203,20250623,중개거래,인천 중구,-
33,인천광역시 중구 운서동,Jan-04,3104,1,운서SKVIEWSkycity,77.0014,202506,20,"44,000",-,19,개인,개인,2022,흰바위로 203,-,중개거래,인천 중구,-
34,인천광역시 중구 중산동,1887-1,1887,1,영종하늘도시한라비발디,115.4255,202506,20,"50,000",-,23,개인,개인,2012,하늘별빛로 86,-,중개거래,인천 중구,-
35,인천광역시 중구 중산동,1887-1,1887,1,영종하늘도시한라비발디,115.4255,202506,20,"51,000",-,14,개인,개인,2012,하늘별빛로 86,-,중개거래,인천 중구,-
36,인천광역시 중구 운서동,Jun-88,2788,6,영종주공스카이빌10단지,59.64,202506,20,"24,700",-,1,개인,개인,2001,흰바위로 34,-,중개거래,인천 중구,-
37,인천광역시 중구 신생동,May-38,38,5,삼성,59.055,202506,20,"23,000",-,10,개인,개인,2001,인중로 111,-,직거래,-,-
38,인천광역시 중구 중산동,1878-1,1878,1,인천영종한양수자인,59.1006,202506,20,"29,500",-,29,개인,개인,2012,은하수로 377,-,중개거래,인천 중구,-
39,인천광역시 중구 운서동,Jun-88,2788,6,영종주공스카이빌10단지,51.49,202506,19,"20,000",-,4,개인,공공기관,2001,흰바위로 34,-,직거래,-,-
40,인천광역시 중구 운서동,Jun-88,2788,6,영종주공스카이빌10단지,51.74,202506,19,"21,313",-,9,개인,공공기관,2001,흰바위로 34,-,직거래,-,-
41,인천광역시 중구 운서동,Jun-88,2788,6,영종주공스카이빌10단지,51.74,202506,19,"17,900",-,1,개인,공공기관,2001,흰바위로 34,-,직거래,-,-
42,인천광역시 중구 중산동,1872-1,1872,1,영종신명스카이뷰주얼리,57.016,202506,19,"27,000",-,28,개인,개인,2013,하늘달빛로 95,-,중개거래,인천 중구,-
43,인천광역시 중구 중산동,1887-2,1887,2,영종힐스테이트,83.011,202506,19,"40,800",-,16,개인,개인,2012,하늘별빛로 66,-,중개거래,인천 중구,-
44,인천광역시 중구 중산동,1871-1,1871,1,e편한세상영종국제도시센텀베뉴,98.0214,202506,18,"60,000",-,11,개인,개인,2023,하늘달빛로 139,-,중개거래,인천 중구,-
45,인천광역시 중구 신흥동3가,7-235,7,235,신흥아이파크,59.904,202506,18,"20,000",-,2,개인,개인,2002,인항로 30,-,중개거래,인천 중구,-
46,인천광역시 중구 중산동,1881-2,1881,2,스카이시티자이,91.4513,202506,18,"43,500",-,2,개인,개인,2018,하늘별빛로 111,-,중개거래,인천 중구,-
