시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.61687156,127.078781
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.61019935,127.0655939
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.64152704,127.0318039
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.6739369,127.0579395
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.64891684,127.0834429
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.54016692,126.9502381
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.5287058,126.8619964
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.51587619,126.8407083
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.52931633,126.8552469
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.55746768,126.8496279
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.49633516,126.9112243
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.52603625,126.9099445
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.49337763,126.9792543
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.48595954,126.940256
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.48101519,126.9131338
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.49293029,127.0837559
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.48485589,127.0908822
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.48871261,127.0464303
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.49666803,127.1389621
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.49996037,127.0900817
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.53870028,127.1351949
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.53769867,127.1346946
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.16952481,129.0341273
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.20009031,129.1038167
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.20469546,129.099988
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.1280758,129.1040909
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.11218604,129.1086326
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.13967899,129.0690954
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.21096928,129.0363432
