시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
부산광역시 동래구 사직동,1019,삼환나우빌,84.9805,202507.0,46000.0,19.0,2010.0,쇠미로 72,25.71,1789.19,1341.89,35.200218581448,129.055616347269
부산광역시 사하구 신평동,400,현대,81.78,202507.0,22500.0,21.0,1994.0,하신중앙로 170,24.74,909.46,682.1,35.0938469892527,128.96428483733
부산광역시 사하구 장림동,16,신세대지큐빌,49.14,202507.0,9400.0,20.0,2003.0,다대로277번길 85,14.86,632.57,474.43,35.0761221202712,128.981429998763
부산광역시 남구 대연동,1858,대연힐스테이트푸르지오,84.92,202507.0,87000.0,22.0,2013.0,수영로 345,25.69,3386.53,2539.9,35.1398875289479,129.103520204194
부산광역시 부산진구 전포동,927,e편한세상시민공원1단지,59.968,202507.0,57000.0,15.0,2023.0,진남로 455,18.14,3142.23,2356.67,35.1663369587468,129.068850570712
부산광역시 부산진구 전포동,927,e편한세상시민공원1단지,59.968,202507.0,57200.0,17.0,2023.0,진남로 455,18.14,3153.25,2364.94,35.1663369587468,129.068850570712
부산광역시 부산진구 전포동,908,서면아이파크1단지,72.5835,202507.0,56300.0,11.0,2021.0,동성로 50,21.96,2563.75,1922.81,35.1551400379108,129.068740212481
부산광역시 강서구 명지동,3595-3,더샵명지퍼스트월드3단지,84.997,202507.0,61500.0,34.0,2020.0,명지국제2로 41,25.71,2392.07,1794.05,35.0947817266961,128.906874174632
부산광역시 강서구 명지동,3594,더샵명지퍼스트월드2단지,84.997,202507.0,64600.0,13.0,2020.0,명지국제7로 37,25.71,2512.64,1884.48,35.0975218758561,128.905203069718
부산광역시 남구 용호동,176-30,엘지메트로시티5,84.888,202507.0,53200.0,19.0,2004.0,분포로 113,25.68,2071.65,1553.74,35.1272669147748,129.109040555258
부산광역시 남구 용호동,419-12,로얄맨션,63.12,202507.0,8800.0,5.0,1986.0,동명로100번길 48,19.09,460.97,345.73,35.117617666877,129.107306520804
부산광역시 남구 문현동,1250,대연양우내안애퍼스트,59.9015,202507.0,48300.0,6.0,2022.0,수영로 117,18.12,2665.56,1999.17,35.1347343005461,129.078070055216
부산광역시 남구 감만동,498-2,현대2,74.01,202507.0,17700.0,15.0,1996.0,신선로 165,22.39,790.53,592.9,35.1115211307082,129.082092386359
부산광역시 북구 금곡동,832,동원역삼정그린코아,71.0496,202507.0,26500.0,2.0,2014.0,효열로 135,21.49,1233.13,924.85,35.2580364464243,129.014187207907
부산광역시 북구 금곡동,1898,화명한일유앤아이,83.5,202507.0,38000.0,24.0,2002.0,화명신도시로 194,25.26,1504.35,1128.26,35.2425002245561,129.012496205717
부산광역시 북구 금곡동,1898,화명한일유앤아이,59.7,202507.0,27800.0,19.0,2002.0,화명신도시로 194,18.06,1539.31,1154.48,35.2425002245561,129.012496205717
부산광역시 기장군 일광읍 삼성리,785,일광자이푸르지오2단지,84.9718,202507.0,55700.0,13.0,2020.0,해빛로 29,25.7,2167.32,1625.49,35.266508511069,129.224075807701
부산광역시 강서구 명지동,3415,명지국제신도시호반베르디움1차,74.9342,202507.0,45000.0,17.0,2016.0,명지국제5로 29,22.67,1985.0,1488.75,35.0961151515237,128.917897059642
부산광역시 사상구 덕포동,795,사상중흥에스-클래스그랜드센트럴,79.8564,202507.0,59800.0,20.0,2023.0,사상로 300,24.16,2475.17,1856.38,35.1716317464552,128.983687212587
부산광역시 사상구 덕포동,795,사상중흥에스-클래스그랜드센트럴,59.9491,202507.0,51000.0,9.0,2023.0,사상로 300,18.13,2813.02,2109.77,35.1716317464552,128.983687212587
