"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-01 ~ 2025-07-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"30","부산광역시 해운대구 우동","938","0938","0000","롯데","84.8400","202507","09","58,000","-","11","개인","개인","1993","해운대로483번길 10","-","중개거래","부산 해운대구","-"
"31","부산광역시 해운대구 우동","1408","1408","0000","해운대 I PARK","157.5130","202507","09","202,000","-","24","개인","개인","2011","마린시티2로 38","-","중개거래","부산 해운대구","-"
"32","부산광역시 남구 용호동","176-30","0176","0030","엘지메트로시티4-2(230~238)","84.8880","202507","09","57,000","-","24","개인","개인","2003","분포로 113","-","중개거래","부산 남구","-"
"33","부산광역시 부산진구 개금동","455","0455","0000","엘지신개금(2-1)","59.9900","202507","09","22,500","-","16","개인","개인","1998","백양대로300번길 20","-","중개거래","부산 부산진구","-"
"34","부산광역시 북구 화명동","2264","2264","0000","롯데낙천대","142.1830","202507","09","60,000","-","18","개인","개인","2002","화명신도시로 156","-","직거래","-","-"
"35","부산광역시 수영구 광안동","378-6","0378","0006","누원아트빌","53.9500","202507","09","16,500","-","5","개인","개인","2002","수영로545번가길 14-3","-","중개거래","부산 수영구","-"
"36","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202507","09","14,400","-","21","개인","개인","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"37","부산광역시 수영구 광안동","142-6","0142","0006","광안협성엠파이어Ⅱ","50.7624","202507","09","30,000","-","18","개인","개인","2013","수영로588번길 7","-","중개거래","부산 수영구, 부산 해운대구","-"
"38","부산광역시 사하구 신평동","674","0674","0000","사하코오롱하늘채","59.9307","202507","09","25,000","-","2","개인","개인","2021","신산북로 41","-","중개거래","부산 사하구","-"
"39","부산광역시 기장군 정관읍 용수리","1275","1275","0000","정관양우내안愛","59.8986","202507","09","20,300","-","3","개인","개인","2016","정관5로 144","-","중개거래","부산 기장군","-"
"40","부산광역시 기장군 정관읍 용수리","1275","1275","0000","정관양우내안愛","59.8986","202507","09","20,300","-","3","개인","개인","2016","정관5로 144","20250709","중개거래","부산 기장군","-"
"41","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","84.8734","202507","09","29,000","-","6","개인","개인","2012","정관4로 24","-","중개거래","부산 기장군","-"
"42","부산광역시 기장군 일광읍 삼성리","773","0773","0000","e편한세상일광","84.9868","202507","09","48,500","-","3","개인","개인","2020","해빛2로 21","-","중개거래","부산 기장군","-"
"43","부산광역시 해운대구 반여동","1638","1638","0000","아시아선수촌아파트","101.5500","202507","09","50,500","-","13","개인","개인","2002","선수촌로 122","-","중개거래","부산 해운대구","-"
"44","부산광역시 해운대구 반여동","1199-11","1199","0011","센텀대림","59.9900","202507","09","23,000","-","15","개인","개인","1996","선수촌로 95","-","직거래","-","-"
"45","부산광역시 금정구 구서동","1053","1053","0000","구서동쌍용예가1단지","157.7983","202507","09","80,000","-","16","개인","개인","2010","금샘로 261","-","중개거래","부산 금정구","-"
"46","부산광역시 동래구 안락동","1242","1242","0000","안락뜨란채2단지","84.9200","202507","09","43,800","-","8","개인","개인","2005","연안로 74","-","중개거래","부산 동래구","-"
"47","부산광역시 해운대구 반여동","1682","1682","0000","해운대센텀트루엘1단지","59.9663","202507","09","31,800","-","23","개인","개인","2019","삼어로133번나길 17","-","중개거래","부산 해운대구","-"
"48","부산광역시 해운대구 좌동","1448","1448","0000","경남선경","116.2500","202507","09","50,000","-","10","개인","개인","1996","청사포로 27","-","중개거래","부산 해운대구","-"
"49","부산광역시 해운대구 좌동","1286","1286","0000","대림2","59.8160","202507","09","35,000","-","16","개인","개인","1997","대천로103번길 9","-","중개거래","부산 해운대구","-"
"50","부산광역시 해운대구 좌동","1286","1286","0000","대림2","84.9740","202507","09","55,000","-","22","개인","개인","1997","대천로103번길 9","-","중개거래","부산 해운대구","-"
"51","부산광역시 부산진구 전포동","908","0908","0000","서면아이파크1단지","84.9385","202507","09","67,000","-","23","개인","개인","2021","동성로 50","-","중개거래","부산 부산진구, 부산 수영구","-"
"52","부산광역시 북구 덕천동","802","0802","0000","덕천주공1","38.6400","202507","09","7,800","-","7","개인","법인","1991","덕천로 72","-","중개거래","부산 북구","-"
"53","부산광역시 동래구 온천동","1850","1850","0000","동래3차SKVIEW","84.8810","202507","09","59,000","-","31","개인","개인","2021","온천장로65번길 9","-","중개거래","부산 동래구","-"
"54","부산광역시 연제구 연산동","2262","2262","0000","연산자이","121.6761","202507","09","65,500","-","26","개인","개인","2010","과정로343번길 43","-","중개거래","부산 연제구","-"
"55","부산광역시 사하구 다대동","1550","1550","0000","몰운대","49.0800","202507","09","9,800","-","19","개인","개인","1996","다대낙조2길 12","-","중개거래","부산 사하구","-"
"56","부산광역시 강서구 명지동","3404","3404","0000","더힐시그니처","91.6395","202507","09","64,500","-","12","개인","개인","2019","명지국제7로 110","-","중개거래","부산 강서구","-"
"57","부산광역시 중구 영주동","5","0005","0000","우남이채롬","107.5189","202507","09","37,000","-","5","개인","개인","2006","초량상로 13","-","직거래","-","-"
"58","부산광역시 북구 만덕동","960","0960","0000","더 래디언트 금정산","59.9800","202507","09","32,050","-","17","개인","개인","2019","상학로 35","-","중개거래","부산 북구","-"
"59","부산광역시 북구 만덕동","955","0955","0000","백양디이스트(1단지)","72.2358","202507","09","25,000","-","3","개인","개인","2015","덕천로276번길 60","-","중개거래","부산 남구","-"
"60","부산광역시 사하구 신평동","437","0437","0000","삼창강변1","84.6000","202507","09","16,900","-","21","개인","개인","1998","비봉로 37","-","중개거래","부산 사하구","-"
"61","부산광역시 사하구 신평동","674","0674","0000","사하코오롱하늘채","59.9513","202507","09","25,500","-","11","개인","개인","2021","신산북로 41","-","중개거래","부산 사하구","-"
"62","부산광역시 부산진구 전포동","927","0927","0000","e편한세상시민공원1단지","59.9865","202507","09","55,700","-","24","개인","개인","2023","진남로 455","-","중개거래","부산 부산진구","-"
"63","부산광역시 사하구 하단동","717-1","0717","0001","하단청구","173.3300","202507","09","45,000","-","1","개인","개인","1999","낙동대로520번길 14","-","중개거래","부산 사하구","-"
"64","부산광역시 수영구 남천동","10-2","0010","0002","금양아이파크","51.5883","202507","09","24,000","-","12","개인","개인","2017","남천동로9번길 38","-","중개거래","부산 수영구","-"
"65","부산광역시 기장군 정관읍 모전리","723","0723","0000","이지더원","84.7808","202507","09","24,000","-","2","개인","개인","2011","정관1로 18","-","중개거래","부산 기장군","-"
"66","부산광역시 기장군 정관읍 모전리","776","0776","0000","정관동일스위트2차","84.9864","202507","09","26,500","-","6","개인","개인","2013","정관3로 23","-","중개거래","부산 기장군","-"
"67","부산광역시 기장군 정관읍 모전리","776","0776","0000","정관동일스위트2차","59.9337","202507","09","17,000","-","2","개인","개인","2013","정관3로 23","-","중개거래","부산 기장군","-"
"68","부산광역시 기장군 정관읍 모전리","776","0776","0000","정관동일스위트2차","84.9864","202507","09","26,150","-","13","개인","개인","2013","정관3로 23","-","직거래","-","-"
"69","부산광역시 사상구 엄궁동","726","0726","0000","롯데캐슬","101.1115","202507","08","43,000","-","14","개인","개인","2010","엄궁북로 61","-","중개거래","부산 사상구","-"
"70","부산광역시 북구 화명동","1170-1","1170","0001","대림타운","59.8000","202507","08","18,000","-","24","개인","개인","1999","금곡대로 268","-","중개거래","부산 북구","-"
"71","부산광역시 영도구 청학동","62-60","0062","0060","한라비치","59.7100","202507","08","12,500","-","14","개인","개인","1994","태종로 428","-","중개거래","부산 영도구","-"
"72","부산광역시 연제구 연산동","2382","2382","0000","힐스테이트연산","84.9696","202507","08","62,000","-","20","개인","개인","2021","봉수로 2","-","중개거래","부산 연제구","-"
"73","부산광역시 연제구 연산동","2311","2311","0000","더샵파크시티","69.9300","202507","08","53,800","-","5","개인","개인","2015","안연로 33","-","중개거래","부산 북구, 부산 연제구","-"
"74","부산광역시 연제구 연산동","2298","2298","0000","연산경동메르빌","87.9393","202507","08","47,000","-","29","개인","개인","2013","연수로 110","-","중개거래","부산 부산진구, 부산 연제구","-"
"75","부산광역시 사하구 다대동","120-1","0120","0001","다대포현대","115.5300","202507","08","27,000","-","4","개인","개인","1993","다대로 473","-","직거래","-","-"
"76","부산광역시 사하구 다대동","120-10","0120","0010","삼환","59.7600","202507","08","17,800","-","6","개인","개인","1996","다대로429번길 20","-","중개거래","부산 사하구","-"
"77","부산광역시 사하구 다대동","1624","1624","0000","다대동롯데캐슬몰운대","59.9115","202507","08","18,000","-","14","개인","개인","2007","다대낙조2길 100","-","중개거래","부산 사하구","-"
"78","부산광역시 기장군 정관읍 매학리","723","0723","0000","정관2차동원로얄듀크","84.9993","202507","08","35,500","-","6","개인","개인","2013","정관5로 12","-","중개거래","부산 기장군","-"
"79","부산광역시 부산진구 부암동","500","0500","0000","화승","59.8000","202507","08","22,000","-","7","개인","개인","1997","당감로 80","-","중개거래","부산 부산진구","-"
"80","부산광역시 부산진구 부암동","63-3","0063","0003","쌍용스윗닷홈스카이","84.9800","202507","08","46,000","-","37","개인","개인","2007","시민공원로 11","-","중개거래","부산 부산진구","-"
"81","부산광역시 사상구 모라동","552","0552","0000","백양그린","49.9400","202507","08","10,500","-","7","개인","개인","1992","모라로110번길 88","-","중개거래","부산 사상구","-"
"82","부산광역시 수영구 광안동","1330","1330","0000","쌍용예가디오션","84.9833","202507","08","93,000","-","18","개인","개인","2014","광안로 20","-","중개거래","부산 수영구","-"
"83","부산광역시 남구 문현동","1255","1255","0000","오션파라곤아파트","72.9781","202507","08","36,000","-","17","개인","개인","2022","우암로 300","-","중개거래","부산 동래구","-"
"84","부산광역시 남구 문현동","73-1","0073","0001","현대","84.8460","202507","08","25,000","-","7","개인","개인","1998","진남로198번길 9-1","-","중개거래","부산 남구","-"
"85","부산광역시 동래구 온천동","1412-1","1412","0001","반도보라스카이뷰","84.8813","202507","08","54,500","-","30","개인","개인","2006","아시아드대로 234","-","중개거래","부산 동래구","-"
"86","부산광역시 사하구 괴정동","1286","1286","0000","괴정한신더휴","84.8570","202507","08","44,000","-","16","개인","개인","2022","사리로 106","-","중개거래","부산 사하구","-"
