시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
인천광역시 중구 중산동,1878-1,인천영종한양수자인,59.127,202506.0,28000.0,25.0,2012.0,은하수로 377,17.89,1565.12,1173.84,37.4907001908,126.5535730631
인천광역시 중구 중산동,1881-2,스카이시티자이,91.8393,202506.0,51000.0,17.0,2018.0,하늘별빛로 111,27.78,1835.85,1376.89,37.49119145,126.5588753
인천광역시 중구 중산동,1889-2,영종국제도시화성파크드림,84.7363,202506.0,49500.0,36.0,2019.0,하늘별빛로 112,25.63,1931.33,1448.5,37.4932055624,126.5595877225
인천광역시 중구 중산동,1889-2,영종국제도시화성파크드림,84.7363,202506.0,49500.0,36.0,2019.0,하늘별빛로 112,25.63,1931.33,1448.5,37.4932055624,126.5595877225
인천광역시 중구 운남동,1550,영종자이,167.8677,202506.0,52000.0,12.0,2009.0,운남서로 7,50.78,1024.03,768.02,37.48937555,126.5291655
인천광역시 중구 운남동,1779,영종센트럴푸르지오자이,74.8393,202506.0,39200.0,4.0,2019.0,은하수로 412,22.64,1731.45,1298.59,37.4894878717,126.549602714
인천광역시 중구 운남동,1779,영종센트럴푸르지오자이,74.8393,202506.0,39200.0,4.0,2019.0,은하수로 412,22.64,1731.45,1298.59,37.4894878717,126.549602714
인천광역시 중구 운남동,1779,영종센트럴푸르지오자이,64.643,202506.0,37500.0,21.0,2019.0,은하수로 412,19.55,1918.16,1438.62,37.4894878717,126.549602714
인천광역시 중구 운남동,1779,영종센트럴푸르지오자이,64.643,202506.0,37500.0,21.0,2019.0,은하수로 412,19.55,1918.16,1438.62,37.4894878717,126.549602714
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,98.0425,202506.0,59800.0,2.0,2023.0,하늘달빛로 139,29.66,2016.18,1512.14,37.4899964269,126.5517903489
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,98.0425,202506.0,59800.0,2.0,2023.0,하늘달빛로 139,29.66,2016.18,1512.14,37.4899964269,126.5517903489
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,77.0014,202506.0,44000.0,19.0,2022.0,흰바위로 203,23.29,1889.22,1416.92,37.4814237236,126.5009403204
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,77.0014,202506.0,44000.0,19.0,2022.0,흰바위로 203,23.29,1889.22,1416.92,37.4814237236,126.5009403204
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,77.0014,202506.0,44000.0,19.0,2022.0,흰바위로 203,23.29,1889.22,1416.92,37.4814237236,126.5009403204
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,77.0014,202506.0,44000.0,19.0,2022.0,흰바위로 203,23.29,1889.22,1416.92,37.4814237236,126.5009403204
인천광역시 중구 중산동,1887-1,영종하늘도시한라비발디,115.4255,202506.0,50000.0,23.0,2012.0,하늘별빛로 86,34.92,1431.84,1073.88,37.4926288872,126.5635111712
인천광역시 중구 중산동,1887-1,영종하늘도시한라비발디,115.4255,202506.0,50000.0,23.0,2012.0,하늘별빛로 86,34.92,1431.84,1073.88,37.4926288872,126.5635111712
인천광역시 중구 중산동,1887-1,영종하늘도시한라비발디,115.4255,202506.0,51000.0,14.0,2012.0,하늘별빛로 86,34.92,1460.48,1095.36,37.4926288872,126.5635111712
인천광역시 중구 중산동,1887-1,영종하늘도시한라비발디,115.4255,202506.0,51000.0,14.0,2012.0,하늘별빛로 86,34.92,1460.48,1095.36,37.4926288872,126.5635111712
인천광역시 중구 운서동,Jun-88,영종주공스카이빌10단지,59.64,202506.0,24700.0,1.0,2001.0,흰바위로 34,18.04,1369.18,1026.88,37.49112942,126.4889713
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.61094826,126.978688
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.55843416,127.0177
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.56656445,127.0398095
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.54225046,127.0138055
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.59963513,127.0565195
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.60026194,127.0564122
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.61687156,127.078781
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.61019935,127.0655939
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.64152704,127.0318039
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.6739369,127.0579395
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.64891684,127.0834429
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.54016692,126.9502381
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.5287058,126.8619964
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.51587619,126.8407083
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.52931633,126.8552469
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.55746768,126.8496279
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.49633516,126.9112243
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.52603625,126.9099445
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.49337763,126.9792543
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.48595954,126.940256
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.48101519,126.9131338
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.49293029,127.0837559
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.48485589,127.0908822
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.48871261,127.0464303
인천광역시 중구 신생동,May-38,삼성,59.055,202506.0,23000.0,10.0,2001.0,인중로 111,17.86,1287.79,965.84,37.49666803,127.1389621
